"national_number","gen","english_name","japanese_name","primary_type","secondary_type","classification","percent_male","percent_female","height_m","weight_kg","capture_rate","hp","attack","defense","sp_attack","sp_defense","speed","abilities_1","abilities_2","hidden_ability","description","tier"
32,1,"Nidoran♂","ニドラン♂ (Nidoran♂)","Poison",NA,"Poison Pin Pokémon","100%","0%",0.5,9,235,46,57,40,40,40,50,"Poison Point","Rivalry","Hustle",NA,NA
33,1,"Nidorino","ニドリーノ (Nidorino)","Poison",NA,"Poison Pin Pokémon","100%","0%",0.9,19.5,120,61,72,57,55,55,65,"Poison Point","Rivalry","Hustle",NA,"National Dex"
34,1,"Nidoking","ニドキング (Nidoking)","Poison","Ground","Drill Pokémon","100%","0%",1.4,62,45,81,102,77,85,75,85,"Poison Point","Rivalry","Sheer Force",NA,"National Dex"
35,1,"Clefairy","ピッピ (Pippi)","Fairy",NA,"Fairy Pokémon","25%","75%",0.6,7.5,150,70,45,48,60,65,35,"Cute Charm","Magic Guard","Friend Guard",NA,"NFE"
36,1,"Clefable","ピクシー (Pixy)","Fairy",NA,"Fairy Pokémon","25%","75%",1.3,40,25,95,70,73,95,90,60,"Cute Charm","Magic Guard","Unaware",NA,"OU"
37,1,"Vulpix","ロコン (Rokon)","Fire",NA,"Fox Pokémon","25%","75%",0.6,9.9,190,38,41,40,50,65,65,"Flash Fire",NA,"Drought",NA,"NFE"
38,1,"Ninetales","キュウコン (Kyukon)","Fire",NA,"Fox Pokémon","25%","75%",1.1,19.9,75,73,76,75,81,100,100,"Flash Fire",NA,"Drought",NA,"ZU"
39,1,"Jigglypuff","プリン (Purin)","Normal","Fairy","Balloon Pokémon","25%","75%",0.5,5.5,170,115,45,20,45,25,20,"Cute Charm","Competitive","Friend Guard",NA,"NFE"
40,1,"Wigglytuff","プクリン (Pukurin)","Normal","Fairy","Balloon Pokémon","25%","75%",1,12,50,140,70,45,85,50,45,"Cute Charm","Competitive","Frisk",NA,"ZU"
41,1,"Zubat","ズバット (Zubat)","Poison","Flying","Bat Pokémon","50%","50%",0.8,7.5,255,40,45,35,30,40,55,"Inner Focus",NA,"Infiltrator",NA,"National Dex"
42,1,"Golbat","ゴルバット (Golbat)","Poison","Flying","Bat Pokémon","50%","50%",1.6,55,90,75,80,70,65,75,90,"Inner Focus",NA,"Infiltrator",NA,"National Dex"
43,1,"Oddish","ナゾノクサ (Nazonokusa)","Grass","Poison","Weed Pokémon","50%","50%",0.5,5.4,255,45,50,55,75,65,30,"Chlorophyll",NA,"Run Away",NA,"LC"
44,1,"Gloom","クサイハナ (Kusaihana)","Grass","Poison","Weed Pokémon","50%","50%",0.8,8.6,120,60,65,70,85,75,40,"Chlorophyll",NA,"Stench",NA,"NFE"
45,1,"Vileplume","ラフレシア (Ruffresia)","Grass","Poison","Flower Pokémon","50%","50%",1.2,18.6,45,75,80,85,110,90,50,"Chlorophyll",NA,"Effect Spore",NA,"NU"
46,1,"Paras","パラス (Paras)","Bug","Grass","Mushroom Pokémon","50%","50%",0.3,5.4,190,35,70,55,45,55,25,"Effect Spore","Dry Skin","Damp",NA,"National Dex"
47,1,"Parasect","パラセクト (Parasect)","Bug","Grass","Mushroom Pokémon","50%","50%",1,29.5,75,60,95,80,60,80,30,"Effect Spore","Dry Skin","Damp",NA,"National Dex"
48,1,"Venonat","コンパン (Kongpang)","Bug","Poison","Insect Pokémon","50%","50%",1,30,190,60,55,50,40,55,45,"Compound Eyes","Tinted Lens","Run Away",NA,"LC"
49,1,"Venomoth","モルフォン (Morphon)","Bug","Poison","Poison Moth Pokémon","50%","50%",1.5,12.5,75,70,65,60,90,75,90,"Shield Dust","Tinted Lens","Wonder Skin",NA,"ZUBL"
50,1,"Diglett","ディグダ (Digda)","Ground",NA,"Mole Pokémon","50%","50%",0.2,0.8,255,10,55,25,35,45,95,"Sand Veil","Arena Trap","Sand Force",NA,"NFE"
51,1,"Dugtrio","ダグトリオ (Dugtrio)","Ground",NA,"Mole Pokémon","50%","50%",0.7,33.3,50,35,100,50,50,70,120,"Sand Veil","Arena Trap","Sand Force",NA,"ZU"
52,1,"Meowth","ニャース (Nyarth)","Normal",NA,"Scratch Cat Pokémon","50%","50%",0.4,4.2,255,40,45,35,40,40,90,"Pickup","Technician","Unnerve",NA,"LC"
53,1,"Persian","ペルシアン (Persian)","Normal",NA,"Classy Cat Pokémon","50%","50%",1,32,90,65,70,60,65,65,115,"Limber","Technician","Unnerve",NA,"ZU"
54,1,"Psyduck","コダック (Koduck)","Water",NA,"Duck Pokémon","50%","50%",0.8,19.6,190,50,52,48,65,50,55,"Damp","Cloud Nine","Swift Swim",NA,"LC"
55,1,"Golduck","ゴルダック (Golduck)","Water",NA,"Duck Pokémon","50%","50%",1.7,76.6,75,80,82,78,95,80,85,"Damp","Cloud Nine","Swift Swim",NA,"ZU"
56,1,"Mankey","マンキー (Mankey)","Fighting",NA,"Pig Monkey Pokémon","50%","50%",0.5,28,190,40,80,35,35,45,70,"Vital Spirit","Anger Point","Defiant",NA,"LC"
57,1,"Primeape","オコリザル (Okorizaru)","Fighting",NA,"Pig Monkey Pokémon","50%","50%",1,32,75,65,105,60,60,70,95,"Vital Spirit","Anger Point","Defiant",NA,"ZU"
58,1,"Growlithe","ガーディ (Gardie)","Fire",NA,"Puppy Pokémon","75%","25%",0.7,19,190,55,70,45,70,50,60,"Intimidate","Flash Fire","Justified",NA,"LC"
59,1,"Arcanine","ウインディ (Windie)","Fire",NA,"Legendary Pokémon","75%","25%",1.9,155,75,90,110,80,100,80,95,"Intimidate","Flash Fire","Justified",NA,"PU"
60,1,"Poliwag","ニョロモ (Nyoromo)","Water",NA,"Tadpole Pokémon","50%","50%",0.6,12.4,255,40,50,40,40,40,90,"Water Absorb","Damp","Swift Swim",NA,"LC"
61,1,"Poliwhirl","ニョロゾ (Nyorozo)","Water",NA,"Tadpole Pokémon","50%","50%",1,20,120,65,65,65,50,50,90,"Water Absorb","Damp","Swift Swim",NA,"NFE"
62,1,"Poliwrath","ニョロボン (Nyorobon)","Water","Fighting","Tadpole Pokémon","50%","50%",1.3,54,45,90,95,95,70,90,70,"Water Absorb","Damp","Swift Swim",NA,"ZU"
63,1,"Abra","ケーシィ (Casey)","Psychic",NA,"Psi Pokémon","75%","25%",0.9,19.5,200,25,20,15,105,55,90,"Synchronize","Inner Focus","Magic Guard",NA,"National Dex"
64,1,"Kadabra","ユンゲラー (Yungerer)","Psychic",NA,"Psi Pokémon","75%","25%",1.3,56.5,100,40,35,30,120,70,105,"Synchronize","Inner Focus","Magic Guard",NA,"National Dex"
65,1,"Alakazam","フーディン (Foodin)","Psychic",NA,"Psi Pokémon","75%","25%",1.5,48,50,55,50,45,135,95,120,"Synchronize","Inner Focus","Magic Guard",NA,"National Dex"
66,1,"Machop","ワンリキー (Wanriky)","Fighting",NA,"Superpower Pokémon","75%","25%",0.8,19.5,180,70,80,50,35,35,35,"Guts","No Guard","Steadfast",NA,"National Dex"
67,1,"Machoke","ゴーリキー (Goriky)","Fighting",NA,"Superpower Pokémon","75%","25%",1.5,70.5,90,80,100,70,50,60,45,"Guts","No Guard","Steadfast",NA,"National Dex"
68,1,"Machamp","カイリキー (Kairiky)","Fighting",NA,"Superpower Pokémon","75%","25%",1.6,130,45,90,130,80,65,85,55,"Guts","No Guard","Steadfast",NA,"National Dex"
69,1,"Bellsprout","マダツボミ (Madatsubomi)","Grass","Poison","Flower Pokémon","50%","50%",0.7,4,255,50,75,35,70,30,40,"Chlorophyll",NA,"Gluttony",NA,"LC"
70,1,"Weepinbell","ウツドン (Utsudon)","Grass","Poison","Flycatcher Pokémon","50%","50%",1,6.4,120,65,90,50,85,45,55,"Chlorophyll",NA,"Gluttony",NA,"NFE"
71,1,"Victreebel","ウツボット (Utsubot)","Grass","Poison","Flycatcher Pokémon","50%","50%",1.7,15.5,45,80,105,65,100,70,70,"Chlorophyll",NA,"Gluttony",NA,"ZU"
72,1,"Tentacool","メノクラゲ (Menokurage)","Water","Poison","Jellyfish Pokémon","50%","50%",0.9,45.5,190,40,40,35,50,100,70,"Clear Body","Liquid Ooze","Rain Dish",NA,"LC"
73,1,"Tentacruel","ドククラゲ (Dokukurage)","Water","Poison","Jellyfish Pokémon","50%","50%",1.6,55,60,80,70,65,80,120,100,"Clear Body","Liquid Ooze","Rain Dish",NA,"NU"
74,1,"Geodude","イシツブテ (Isitsubute)","Rock","Ground","Rock Pokémon","50%","50%",0.4,20,255,40,80,100,30,30,20,"Rock Head","Sturdy","Sand Veil",NA,"LC"
75,1,"Graveler","ゴローン (Golone)","Rock","Ground","Rock Pokémon","50%","50%",1,105,120,55,95,115,45,45,35,"Rock Head","Sturdy","Sand Veil",NA,"NFE"
76,1,"Golem","ゴローニャ (Golonya)","Rock","Ground","Megaton Pokémon","50%","50%",1.4,300,45,80,120,130,55,65,45,"Rock Head","Sturdy","Sand Veil",NA,"ZU"
77,1,"Ponyta","ポニータ (Ponyta)","Fire",NA,"Fire Horse Pokémon","50%","50%",1,30,190,50,85,55,65,65,90,"Run Away","Flash Fire","Flame Body",NA,"National Dex"
78,1,"Rapidash","ギャロップ (Gallop)","Fire",NA,"Fire Horse Pokémon","50%","50%",1.7,95,60,65,100,70,80,80,105,"Run Away","Flash Fire","Flame Body",NA,"National Dex"
79,1,"Slowpoke","ヤドン (Yadon)","Water","Psychic","Dopey Pokémon","50%","50%",1.2,36,190,90,65,65,40,40,15,"Oblivious","Own Tempo","Regenerator",NA,"LC"
80,1,"Slowbro","ヤドラン (Yadoran)","Water","Psychic","Hermit Crab Pokémon","50%","50%",1.6,78.5,75,95,75,110,100,80,30,"Oblivious","Own Tempo","Regenerator",NA,"RU"
81,1,"Magnemite","コイル (Coil)","Electric","Steel","Magnet Pokémon","","",0.3,6,190,25,35,70,95,55,45,"Magnet Pull","Sturdy","Analytic",NA,"LC"
82,1,"Magneton","レアコイル (Rarecoil)","Electric","Steel","Magnet Pokémon","","",1,60,60,50,60,95,120,70,70,"Magnet Pull","Sturdy","Analytic",NA,"ZU"
83,1,"Farfetch'd","カモネギ (Kamonegi)","Normal","Flying","Wild Duck Pokémon","50%","50%",0.8,15,45,52,90,55,58,62,60,"Keen Eye","Inner Focus","Defiant",NA,"National Dex"
84,1,"Doduo","ドードー (Dodo)","Normal","Flying","Twin Bird Pokémon","50%","50%",1.4,39.2,190,35,85,45,35,35,75,"Run Away","Early Bird","Tangled Feet",NA,"LC"
85,1,"Dodrio","ドードリオ (Dodorio)","Normal","Flying","Triple Bird Pokémon","50%","50%",1.8,85.2,45,60,110,70,60,60,110,"Run Away","Early Bird","Tangled Feet",NA,"ZU"
86,1,"Seel","パウワウ (Pawou)","Water",NA,"Sea Lion Pokémon","50%","50%",1.1,90,190,65,45,55,45,70,45,"Thick Fat","Hydration","Ice Body",NA,"LC"
87,1,"Dewgong","ジュゴン (Jugon)","Water","Ice","Sea Lion Pokémon","50%","50%",1.7,120,75,90,70,80,70,95,70,"Thick Fat","Hydration","Ice Body",NA,"ZU"
88,1,"Grimer","ベトベター (Betbeter)","Poison",NA,"Sludge Pokémon","50%","50%",0.9,30,190,80,80,50,40,50,25,"Stench","Sticky Hold","Poison Touch",NA,"LC"
89,1,"Muk","ベトベトン (Betbeton)","Poison",NA,"Sludge Pokémon","50%","50%",1.2,30,75,105,105,75,65,100,50,"Stench","Sticky Hold","Poison Touch",NA,"ZU"
90,1,"Shellder","シェルダー (Shellder)","Water",NA,"Bivalve Pokémon","50%","50%",0.3,4,190,30,65,100,45,25,40,"Shell Armor","Skill Link","Overcoat",NA,"LC"
91,1,"Cloyster","パルシェン (Parshen)","Water","Ice","Bivalve Pokémon","50%","50%",1.5,132.5,60,50,95,180,85,45,70,"Shell Armor","Skill Link","Overcoat",NA,"NUBL"
92,1,"Gastly","ゴース (Ghos)","Ghost","Poison","Gas Pokémon","50%","50%",1.3,0.1,190,30,35,30,100,35,80,"Levitate",NA,NA,NA,"NFE"
93,1,"Haunter","ゴースト (Ghost)","Ghost","Poison","Gas Pokémon","50%","50%",1.6,0.1,90,45,50,45,115,55,95,"Levitate",NA,NA,NA,"NFE"
94,1,"Gengar","ゲンガー (Gangar)","Ghost","Poison","Shadow Pokémon","50%","50%",1.5,40.5,45,60,65,60,130,75,110,"Cursed Body",NA,NA,NA,"RU"
95,1,"Onix","イワーク (Iwark)","Rock","Ground","Rock Snake Pokémon","50%","50%",8.8,210,45,35,45,160,30,45,70,"Rock Head","Sturdy","Weak Armor",NA,"National Dex"
96,1,"Drowzee","スリープ (Sleepe)","Psychic",NA,"Hypnosis Pokémon","50%","50%",1,32.4,190,60,48,45,43,90,42,"Insomnia","Forewarn","Inner Focus",NA,"LC"
97,1,"Hypno","スリーパー (Sleeper)","Psychic",NA,"Hypnosis Pokémon","50%","50%",1.6,75.6,75,85,73,70,73,115,67,"Insomnia","Forewarn","Inner Focus",NA,"ZU"
98,1,"Krabby","クラブ (Crab)","Water",NA,"River Crab Pokémon","50%","50%",0.4,6.5,225,30,105,90,25,25,50,"Hyper Cutter","Shell Armor","Sheer Force",NA,"National Dex"
99,1,"Kingler","キングラー (Kingler)","Water",NA,"Pincer Pokémon","50%","50%",1.3,60,60,55,130,115,50,50,75,"Hyper Cutter","Shell Armor","Sheer Force",NA,"National Dex"
100,1,"Voltorb","ビリリダマ (Biriridama)","Electric",NA,"Ball Pokémon","","",0.5,10.4,190,40,30,50,55,55,100,"Soundproof","Static","Aftermath",NA,"LC"
101,1,"Electrode","マルマイン (Marumine)","Electric",NA,"Ball Pokémon","","",1.2,66.6,60,60,50,70,80,80,150,"Soundproof","Static","Aftermath",NA,"ZU"
102,1,"Exeggcute","タマタマ (Tamatama)","Grass","Psychic","Egg Pokémon","50%","50%",0.4,2.5,90,60,40,80,60,45,40,"Chlorophyll",NA,"Harvest",NA,"LC"
103,1,"Exeggutor","ナッシー (Nassy)","Grass","Psychic","Coconut Pokémon","50%","50%",2,120,45,95,95,85,125,75,55,"Chlorophyll",NA,"Harvest",NA,"ZU"
104,1,"Cubone","カラカラ (Karakara)","Ground",NA,"Lonely Pokémon","50%","50%",0.4,6.5,190,50,50,95,40,50,35,"Rock Head","Lightning Rod","Battle Armor",NA,"National Dex"
105,1,"Marowak","ガラガラ (Garagara)","Ground",NA,"Bone Keeper Pokémon","50%","50%",1,45,75,60,80,110,50,80,45,"Rock Head","Lightning Rod","Battle Armor",NA,"National Dex"
106,1,"Hitmonlee","サワムラー (Sawamular)","Fighting",NA,"Kicking Pokémon","100%","0%",1.5,49.8,45,50,120,53,35,110,87,"Limber","Reckless","Unburden",NA,"PU"
107,1,"Hitmonchan","エビワラー (Ebiwalar)","Fighting",NA,"Punching Pokémon","100%","0%",1.4,50.2,45,50,105,79,35,110,76,"Keen Eye","Iron Fist","Inner Focus",NA,"ZU"
108,1,"Lickitung","ベロリンガ (Beroringa)","Normal",NA,"Licking Pokémon","50%","50%",1.2,65.5,45,90,55,75,60,75,30,"Own Tempo","Oblivious","Cloud Nine",NA,"National Dex"
109,1,"Koffing","ドガース (Dogars)","Poison",NA,"Poison Gas Pokémon","50%","50%",0.6,1,190,40,65,95,60,45,35,"Levitate","Neutralizing Gas","Stench",NA,"LC"
110,1,"Weezing","マタドガス (Matadogas)","Poison",NA,"Poison Gas Pokémon","50%","50%",1.2,9.5,60,65,90,120,85,70,60,"Levitate","Neutralizing Gas","Stench",NA,"ZU"
111,1,"Rhyhorn","サイホーン (Sihorn)","Ground","Rock","Spikes Pokémon","50%","50%",1,115,120,80,85,95,30,30,25,"Lightning Rod","Rock Head","Reckless",NA,"LC"
112,1,"Rhydon","サイドン (Sidon)","Ground","Rock","Drill Pokémon","50%","50%",1.9,120,60,105,130,120,45,45,40,"Lightning Rod","Rock Head","Reckless",NA,"PU"
113,1,"Chansey","ラッキー (Lucky)","Normal",NA,"Egg Pokémon","0%","100%",1.1,34.6,30,250,5,5,35,105,50,"Natural Cure","Serene Grace","Healer",NA,"RU"
114,1,"Tangela","モンジャラ (Monjara)","Grass",NA,"Vine Pokémon","50%","50%",1,35,45,65,55,115,100,40,60,"Chlorophyll","Leaf Guard","Regenerator",NA,"National Dex"
115,1,"Kangaskhan","ガルーラ (Garura)","Normal",NA,"Parent Pokémon","0%","100%",2.2,80,45,105,95,80,40,80,90,"Early Bird","Scrappy","Inner Focus",NA,"National Dex"
116,1,"Horsea","タッツー (Tattu)","Water",NA,"Dragon Pokémon","50%","50%",0.4,8,225,30,40,70,70,25,60,"Swift Swim","Sniper","Damp",NA,"LC"
117,1,"Seadra","シードラ (Seadra)","Water",NA,"Dragon Pokémon","50%","50%",1.2,25,75,55,65,95,95,45,85,"Poison Point","Sniper","Damp",NA,"NFE"
118,1,"Goldeen","トサキント (Tosakinto)","Water",NA,"Goldfish Pokémon","50%","50%",0.6,15,225,45,67,60,35,50,63,"Swift Swim","Water Veil","Lightning Rod",NA,"National Dex"
119,1,"Seaking","アズマオウ (Azumao)","Water",NA,"Goldfish Pokémon","50%","50%",1.3,39,60,80,92,65,65,80,68,"Swift Swim","Water Veil","Lightning Rod",NA,"National Dex"
120,1,"Staryu","ヒトデマン (Hitodeman)","Water",NA,"Star Shape Pokémon","","",0.8,34.5,225,30,45,55,70,55,85,"Illuminate","Natural Cure","Analytic",NA,"National Dex"
121,1,"Starmie","スターミー (Starmie)","Water","Psychic","Mysterious Pokémon","","",1.1,80,60,60,75,85,100,85,115,"Illuminate","Natural Cure","Analytic",NA,"National Dex"
122,1,"Mr. Mime","バリヤード (Barrierd)","Psychic","Fairy","Barrier Pokémon","50%","50%",1.3,54.5,45,40,45,65,100,120,90,"Soundproof","Filter","Technician",NA,"National Dex"
123,1,"Scyther","ストライク (Strike)","Bug","Flying","Mantis Pokémon","50%","50%",1.5,56,45,70,110,80,55,80,105,"Swarm","Technician","Steadfast",NA,"NU"
124,1,"Jynx","ルージュラ (Rougela)","Ice","Psychic","Human Shape Pokémon","0%","100%",1.4,40.6,45,65,50,35,115,95,95,"Oblivious","Forewarn","Dry Skin",NA,"National Dex"
125,1,"Electabuzz","エレブー (Eleboo)","Electric",NA,"Electric Pokémon","75%","25%",1.1,30,45,65,83,57,95,85,105,"Static",NA,"Vital Spirit",NA,"NFE"
126,1,"Magmar","ブーバー (Boober)","Fire",NA,"Spitfire Pokémon","75%","25%",1.3,44.5,45,65,95,57,100,85,93,"Flame Body",NA,"Vital Spirit",NA,"NFE"
127,1,"Pinsir","カイロス (Kailios)","Bug",NA,"Stag Beetle Pokémon","50%","50%",1.5,55,45,65,125,100,55,70,85,"Hyper Cutter","Mold Breaker","Moxie",NA,"National Dex"
128,1,"Tauros","ケンタロス (Kentauros)","Normal",NA,"Wild Bull Pokémon","100%","0%",1.4,88.4,45,75,100,95,40,70,110,"Intimidate","Anger Point","Sheer Force",NA,"ZU"
129,1,"Magikarp","コイキング (Koiking)","Water",NA,"Fish Pokémon","50%","50%",0.9,10,255,20,10,55,15,20,80,"Swift Swim",NA,"Rattled",NA,"LC"
130,1,"Gyarados","ギャラドス (Gyarados)","Water","Flying","Atrocious Pokémon","50%","50%",6.5,235,45,95,125,79,60,100,81,"Intimidate",NA,"Moxie",NA,"RUBL"
131,1,"Lapras","ラプラス (Laplace)","Water","Ice","Transport Pokémon","50%","50%",2.5,220,45,130,85,80,85,95,60,"Water Absorb","Shell Armor","Hydration",NA,"ZU"
132,1,"Ditto","メタモン (Metamon)","Normal",NA,"Transform Pokémon","","",0.3,4,35,48,48,48,48,48,48,"Limber",NA,"Imposter",NA,"ZU"
133,1,"Eevee","イーブイ (Eievui)","Normal",NA,"Evolution Pokémon","87.5%","12.5%",0.3,6.5,45,55,55,50,45,65,55,"Run Away","Adaptability","Anticipation",NA,"LC"
134,1,"Vaporeon","シャワーズ (Showers)","Water",NA,"Bubble Jet Pokémon","87.5%","12.5%",1,29,45,130,65,60,110,95,65,"Water Absorb",NA,"Hydration",NA,"NU"
135,1,"Jolteon","サンダース (Thunders)","Electric",NA,"Lightning Pokémon","87.5%","12.5%",0.8,24.5,45,65,65,60,110,95,130,"Volt Absorb",NA,"Quick Feet",NA,"ZU"
136,1,"Flareon","ブースター (Booster)","Fire",NA,"Flame Pokémon","87.5%","12.5%",0.9,25,45,65,130,60,95,110,65,"Flash Fire",NA,"Guts",NA,"ZU"
137,1,"Porygon","ポリゴン (Porygon)","Normal",NA,"Virtual Pokémon","","",0.8,36.5,45,65,60,70,85,75,40,"Trace","Download","Analytic",NA,"NFE"
138,1,"Omanyte","オムナイト (Omnite)","Rock","Water","Spiral Pokémon","87.5%","12.5%",0.4,7.5,45,35,40,100,90,55,35,"Swift Swim","Shell Armor","Weak Armor",NA,"National Dex"
139,1,"Omastar","オムスター (Omstar)","Rock","Water","Spiral Pokémon","87.5%","12.5%",1,35,45,70,60,125,115,70,55,"Swift Swim","Shell Armor","Weak Armor",NA,"National Dex"
140,1,"Kabuto","カブト (Kabuto)","Rock","Water","Shellfish Pokémon","87.5%","12.5%",0.5,11.5,45,30,80,90,55,45,55,"Swift Swim","Battle Armor","Weak Armor",NA,"National Dex"
141,1,"Kabutops","カブトプス (Kabutops)","Rock","Water","Shellfish Pokémon","87.5%","12.5%",1.3,40.5,45,60,115,105,65,70,80,"Swift Swim","Battle Armor","Weak Armor",NA,"National Dex"
142,1,"Aerodactyl","プテラ (Ptera)","Rock","Flying","Fossil Pokémon","87.5%","12.5%",1.8,59,45,80,105,65,60,75,130,"Rock Head","Pressure","Unnerve",NA,"National Dex"
